Pair,Time_spot,Open,High,Low,Close,Volume
ADAUSDT,2024-05-07 20:00:00,0.44740000,0.44930000,0.44360000,0.44710000,7949726.30000000
XRPUSDT,2024-05-07 20:00:00,0.53590000,0.53740000,0.52660000,0.53050000,29091260.00000000
BTCUSDT,2024-05-07 20:00:00,63060.00000000,63197.58000000,62738.80000000,63041.91000000,2260.14829000
BNBUSDT,2024-05-07 20:00:00,585.60000000,587.50000000,578.70000000,582.40000000,30932.11900000
ETHUSDT,2024-05-07 20:00:00,3049.61000000,3061.44000000,3028.06000000,3051.25000000,19042.91840000
LTCUSDT,2024-05-07 20:00:00,82.27000000,82.40000000,80.74000000,81.44000000,54376.21500000
XRPUSDT,2024-05-07 16:00:00,0.54020000,0.54260000,0.53490000,0.53590000,42060287.00000000
ETHUSDT,2024-05-07 16:00:00,3071.41000000,3079.41000000,3027.00000000,3049.62000000,33921.38040000
LTCUSDT,2024-05-07 16:00:00,81.94000000,82.65000000,81.58000000,82.27000000,67443.64500000
BNBUSDT,2024-05-07 16:00:00,594.30000000,595.50000000,585.00000000,585.60000000,40747.68700000
ADAUSDT,2024-05-07 16:00:00,0.45220000,0.45340000,0.44630000,0.44740000,9734484.40000000
BTCUSDT,2024-05-07 16:00:00,63740.48000000,63895.46000000,62789.89000000,63060.01000000,3582.30191000
LTCUSDT,2024-05-07 12:00:00,81.08000000,82.45000000,81.08000000,81.94000000,136527.07000000
XRPUSDT,2024-05-07 12:00:00,0.53460000,0.54200000,0.53430000,0.54020000,61485841.00000000
BTCUSDT,2024-05-07 12:00:00,63490.43000000,64320.00000000,63050.77000000,63740.48000000,5420.86559000
ADAUSDT,2024-05-07 12:00:00,0.44880000,0.45550000,0.44790000,0.45220000,14358026.60000000
BNBUSDT,2024-05-07 12:00:00,592.70000000,596.20000000,587.70000000,594.20000000,46935.69600000
ETHUSDT,2024-05-07 12:00:00,3063.40000000,3106.00000000,3045.70000000,3071.41000000,59771.12920000
ETHUSDT,2024-05-07 08:00:00,3077.40000000,3129.85000000,3059.09000000,3063.39000000,79096.71310000
XRPUSDT,2024-05-07 08:00:00,0.53790000,0.54370000,0.53440000,0.53460000,89302313.00000000
LTCUSDT,2024-05-07 08:00:00,80.44000000,81.78000000,80.27000000,81.08000000,82602.16400000
BTCUSDT,2024-05-07 08:00:00,63669.69000000,64422.41000000,63358.00000000,63490.43000000,5001.25779000
ADAUSDT,2024-05-07 08:00:00,0.44940000,0.45670000,0.44770000,0.44880000,17805625.60000000
BNBUSDT,2024-05-07 08:00:00,588.70000000,600.40000000,588.00000000,592.60000000,74122.50300000
ADAUSDT,2024-05-07 04:00:00,0.44940000,0.45130000,0.44610000,0.44940000,17136389.70000000
LTCUSDT,2024-05-07 04:00:00,80.43000000,80.76000000,80.00000000,80.44000000,48669.69300000
XRPUSDT,2024-05-07 04:00:00,0.53870000,0.54040000,0.53130000,0.53790000,58596850.00000000
ETHUSDT,2024-05-07 04:00:00,3049.19000000,3082.50000000,3044.01000000,3077.40000000,29362.35830000
BTCUSDT,2024-05-07 04:00:00,63239.50000000,63853.12000000,63092.76000000,63669.69000000,2871.47278000
BNBUSDT,2024-05-07 04:00:00,586.70000000,590.10000000,585.40000000,588.70000000,35689.87000000
ADAUSDT,2024-05-07 00:00:00,0.45400000,0.45610000,0.44530000,0.44930000,15001801.10000000
BNBUSDT,2024-05-07 00:00:00,588.20000000,593.80000000,582.50000000,586.70000000,40423.03700000
XRPUSDT,2024-05-07 00:00:00,0.54010000,0.54430000,0.53300000,0.53880000,46174190.00000000
ETHUSDT,2024-05-07 00:00:00,3062.59000000,3096.80000000,3021.34000000,3049.19000000,48218.77780000
LTCUSDT,2024-05-07 00:00:00,80.79000000,81.48000000,79.78000000,80.44000000,77690.04800000
BTCUSDT,2024-05-07 00:00:00,63165.18000000,63967.19000000,62832.60000000,63239.49000000,4005.85545000
ETHUSDT,2024-05-06 20:00:00,3069.83000000,3089.11000000,3060.98000000,3062.60000000,23197.69570000
ADAUSDT,2024-05-06 20:00:00,0.46080000,0.46190000,0.45350000,0.45410000,8604095.60000000
BTCUSDT,2024-05-06 20:00:00,63220.00000000,63611.85000000,63051.94000000,63165.19000000,2207.00674000
BNBUSDT,2024-05-06 20:00:00,589.90000000,593.20000000,587.60000000,588.20000000,20361.85000000
LTCUSDT,2024-05-06 20:00:00,81.10000000,81.39000000,80.61000000,80.79000000,41107.37900000
XRPUSDT,2024-05-06 20:00:00,0.54670000,0.54800000,0.53880000,0.54020000,34130305.00000000
BNBUSDT,2024-05-06 16:00:00,589.00000000,591.40000000,585.60000000,589.90000000,35001.91500000
ADAUSDT,2024-05-06 16:00:00,0.46060000,0.46410000,0.45570000,0.46090000,14784584.90000000
ETHUSDT,2024-05-06 16:00:00,3089.25000000,3096.36000000,3046.35000000,3069.84000000,42521.19030000
XRPUSDT,2024-05-06 16:00:00,0.55940000,0.57030000,0.54260000,0.54670000,224753326.00000000
BTCUSDT,2024-05-06 16:00:00,63632.01000000,63747.59000000,62700.00000000,63220.00000000,5039.95966000
LTCUSDT,2024-05-06 16:00:00,81.76000000,81.96000000,80.66000000,81.10000000,65451.99700000
ETHUSDT,2024-05-06 12:00:00,3149.23000000,3154.99000000,3056.61000000,3089.25000000,118784.40520000
LTCUSDT,2024-05-06 12:00:00,82.34000000,82.37000000,80.01000000,81.75000000,117207.42300000
ADAUSDT,2024-05-06 12:00:00,0.46550000,0.46670000,0.45130000,0.46060000,26538228.90000000
XRPUSDT,2024-05-06 12:00:00,0.53500000,0.55960000,0.52470000,0.55940000,111147843.00000000
BNBUSDT,2024-05-06 12:00:00,592.40000000,593.20000000,583.10000000,589.00000000,71675.03500000
BTCUSDT,2024-05-06 12:00:00,64203.55000000,64319.86000000,62909.61000000,63632.01000000,10782.37421000
BTCUSDT,2024-05-06 08:00:00,64540.75000000,65500.00000000,63815.38000000,64203.56000000,9354.00852000
XRPUSDT,2024-05-06 08:00:00,0.53990000,0.54770000,0.53110000,0.53500000,127426149.00000000
LTCUSDT,2024-05-06 08:00:00,83.33000000,84.05000000,81.76000000,82.34000000,150305.96500000
BNBUSDT,2024-05-06 08:00:00,595.60000000,602.30000000,586.30000000,592.30000000,96841.81300000
ETHUSDT,2024-05-06 08:00:00,3180.54000000,3221.40000000,3131.20000000,3149.23000000,98323.43680000
ADAUSDT,2024-05-06 08:00:00,0.46670000,0.47570000,0.46000000,0.46540000,31160891.60000000
XRPUSDT,2024-05-06 04:00:00,0.53170000,0.54000000,0.53070000,0.53990000,33059952.00000000
BNBUSDT,2024-05-06 04:00:00,591.00000000,595.70000000,589.60000000,595.50000000,29837.65100000
ETHUSDT,2024-05-06 04:00:00,3134.61000000,3191.94000000,3127.94000000,3180.53000000,46060.53650000
